nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,releases
git/git,2008-07-23T14:21:26Z,176,2023-03-08T01:51:59Z,-2.4950661130555556,C,3,0,0,0
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,88,2023-03-07T21:56:13Z,1.434378331388889,JavaScript,63,75,39,0
danielmiessler/SecLists,2012-02-19T01:30:18Z,133,2023-03-08T00:13:59Z,-0.8617327797222222,PHP,470,209,181,18
alacritty/alacritty,2016-02-18T05:02:30Z,85,2023-03-08T00:28:08Z,-1.0975661130555556,Rust,1531,4730,4436,76
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,24,2023-03-08T01:42:26Z,-2.335899446388889,Jupyter Notebook,338,0,0,0
prettier/prettier,2016-11-29T17:13:37Z,76,2023-03-08T01:20:06Z,-1.9636772241666667,JavaScript,7013,5910,4988,96
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,7,2023-03-08T02:21:24Z,-2.985343890833333,Python,851,4129,2640,1
CompVis/stable-diffusion,2022-08-10T14:36:44Z,7,2023-03-08T02:20:32Z,-2.9708994463888887,Jupyter Notebook,5,527,107,0
juliangarnier/anime,2016-03-13T21:37:45Z,84,2023-03-08T01:34:05Z,-2.1967327797222223,JavaScript,72,671,491,14
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,91,2023-03-07T23:34:59Z,-0.21173277972222224,Python,90,91,30,0
serverless/serverless,2015-04-21T03:48:40Z,95,2023-03-08T00:11:00Z,-0.8120105575,JavaScript,4374,5890,4941,357
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,104,2023-03-08T02:10:38Z,-2.8058994463888887,None,534,525,172,0
